n_qubits,n_reuploads,state,seed,cos_all_params,cos_wq_only,grad_norm_data,grad_norm_residual,norm_ratio_data_over_residual
3,1,random_init,0,0.5186500117506084,-0.49470897084376786,0.7505286022038279,0.15569944753051354,4.82036779261366
3,2,random_init,0,0.5988663397625886,0.09726963703937991,0.5708858230743522,0.11788344295803065,4.842799028847515
3,3,random_init,0,0.37018940349314267,0.0757347692223252,0.2641888649342234,0.039501841254069296,6.6880139392744855
3,5,random_init,0,-0.5671113816164878,-0.7199296613243462,0.24542166126040338,0.007741233848766714,31.703171103596418
4,1,random_init,0,-0.1838391376900181,-0.9013194463988554,0.1697470271018197,0.005574535881565131,30.45043223475687
4,2,random_init,0,0.7945465121193455,-0.034000058313177844,0.23129134065733012,0.04219449065770186,5.48155309027559
4,3,random_init,0,0.6041511891012539,-0.002183346689124079,0.8196883475935083,0.3604682711465023,2.2739542234505534
4,5,random_init,0,0.11624798758218398,-0.635318877377677,0.7346060566368383,0.11150117909242098,6.588325456432518
5,1,random_init,0,0.28061278122387834,-0.2795050468528275,0.4747036603148724,0.008859607800380968,53.58066305084745
5,2,random_init,0,0.7811422901714467,0.4952078907460939,1.6490200068016025,0.5014118170034795,3.2887537765990853
5,3,random_init,0,0.7117673259578421,0.3778123295465415,1.3744337063097543,0.32785986679251444,4.19213769515609
5,5,random_init,0,0.4866237310861272,0.45788013429346475,0.9143641156446715,0.3390751742851917,2.6966412907469652
